specimen,trinomial,sitename,context
4078-9,41CE19,George C Davis,F134
424-39,41CE19,George C Davis,F119
424-40,41CE19,George C Davis,F134
424-41,41CE19,George C Davis,F134
424-50,41CE19,George C Davis,F134
424-53,41CE19,George C Davis,F134
463-16,41CE19,George C Davis,F134
4078-22,41CE19,George C Davis,F119
4078-32,41CE19,George C Davis,F119
4078-45,41CE19,George C Davis,F119
4078-72,41CE19,George C Davis,F119
424-169,41CE19,George C Davis,F134
424-218,41CE19,George C Davis,F134
424-221,41CE19,George C Davis,F134
424-230,41CE19,George C Davis,F134
424-33,41CE19,George C Davis,F134
463-1,41CE19,George C Davis,F134
463-23,41CE19,George C Davis,F134
4078-8,41CE19,George C Davis,F119
4078-11,41CE19,George C Davis,F119
4078-12,41CE19,George C Davis,F119
4078-13,41CE19,George C Davis,F119
4078-14,41CE19,George C Davis,F119
4078-14B,41CE19,George C Davis,F119
4078-30,41CE19,George C Davis,F119
